List of files ,Subject
26-E/2019-20/Pr.CCIT/Tech,cases of public sector banks/public sector insurance companies/public sector financial institutions related to i.t.    pending before i.t. authorities and courts of law.
26-F/2019-20/Pr.CCIT/Tech,revenue favourable orders
27/2019-20/Pr.CCIT/Tech,Monthly Dossier Reports - 50 Crores & above
27-A/2019-20/Pr.CCIT/Tech,Quarterly Dossier Report - 10 Crores & above
27-B/2019-20/Pr.CCIT/Tech,Quarterly Dossier Report - 1 Crores & above
27-C/2019-20/Pr.CCIT/Tech,Correspondences relating to outstanding demand/Demand locked up in Appeal
27-D/2019-20/Pr.CCIT/Tech,"Dossier Review Meeting by DGIT(Admn), New Delhi"
27-E/2019-20/Pr.CCIT/Tech,Monitoring Dossiers- Fortnight Report
27-F/2019-20/Pr.CCIT/Tech,Central Action Plan Target of collection of Arrear Demand - Actionable cases
27-G /2019-20/Pr.CCIT/Tech,Top recovery cases - arrear recovery
28/2019-20/Pr.CCIT/Tech,Furnishing information u/s 138(i)
29/2019-20/Pr.CCIT/Tech,Stay Petitions
29(1)/2019-20/Pr.CCIT/Tech,Stay Petition - Vikram Reddy
30/2019-20/Pr.CCIT/Tech,CORRESPONDENCE RELATING TO TRUST MATTERS
31/2019-20/Pr.CCIT/Tech,Selection of cases for scrutiny & Scrutiny Instruction
32/2019-20/Pr.CCIT/Tech,Scheme for improving Quality Assessment
32A/2019-20/Pr.CCIT/Tech,High Pitched Scrutiny Assessment
33/2019-20/Pr.CCIT/Tech,Selection of cases for scrutiny - CIT-I & II
34/2019-20/Pr.CCIT/Tech,Waiver of penalty u/s.273A - M/s. MDM Group
34 A/2019-20/Pr.CCIT/Tech,Waiver of penalty u/s.221 M/s. Shyamaaju & Co. (India) P.Ltd.
34AB(Misc)/2019-20/Pr.CCIT/Tech,General File
63B/2019-20/Pr.CCIT/Tech,Certificate of Registration of ITPs RECD. FROM OTHER OFFICES
35/2019-20/Pr.CCIT/Tech,Correspondence relating to cadre Review
36/2019-20/Pr.CCIT/Tech,10(23G)- General Correspondence
37/2019-20/Pr.CCIT/Tech,10(23C)-General Correspondence
37A/2019-20/Pr.CCIT/Tech,Individual Approved orders u/s 10(23C) by CCIT-I
37B/2019-20/Pr.CCIT/Tech,Individal rejected orders u/s 10(23C) by CCIT-I
37C/2019-20/Pr.CCIT/Tech,Individual Approved orders u/s 10(23C) from other charges
37D/2019-20/Pr.CCIT/Tech,Individual rejected orders u/s 10(23C) from other charges
37E/2019-20/Pr.CCIT/Tech,"10(23C)(v) - Sri Sri Jagadguru Shankaracharya, Sringeri"
37F/2019-20/Pr.CCIT/Tech,Data Base (key information)
38/2019-20/Pr.CCIT/Tech,Approval u/s.35(1)(ii) - General Correspondence
38-A/2019-20/Pr.CCIT/Tech,Recommendation for approval u/s 35(1)(ii) to the Board
38-B/2019-20/Pr.CCIT/Tech,Notification u/s 35AC - Letter from Board
38-C/2019-20/Pr.CCIT/Tech,WITHDRAWAL OF NOTIFICATION U/s. 35(1)(ii) OF THE  I.T.ACT 1961
39/2019-20/Pr.CCIT/Tech,VIGILANCE MATTERS
39-A/2019-20/Pr.CCIT/Tech,Individual Survey Reports received from CIT-I
39-B/2019-20/Pr.CCIT/Tech,Individual Survey Reports received from CIT-II
39-C/2019-20/Pr.CCIT/Tech,Individual Survey Reports received from CIT(TDS)
40/2019-20/Pr.CCIT/Tech,Correspondence relating to Retention of Books
40-A/2019-20/Pr.CCIT/Tech,Individual Retention of books CIT-I
40-B/2019-20/Pr.CCIT/Tech,Furnishing information u/s 138(i)
40-C/2019-20/Pr.CCIT/Tech,Individual Retention of books  CIT(TDS)
41/2019-20/Pr.CCIT/Tech,Regional Economic Intelligence Conference
42/2019-20/Pr.CCIT/Tech,Conference/visit of revenue secretary
42-A/2019-20/Pr.CCIT/Tech,reviewMeetings
42-A(1)/2019-20/Pr.CCIT/Tech,MID-TERM REVIEW 2017-18
42-A(2)/2019-20/Pr.CCIT/Tech,"MONTHLY REVIEW BY PR.CCIT, B'LURU"
42-A(3)/2019-20/Pr.CCIT/Tech,"REVIEW BYMEMBER (IT) & ZONAL MEMBER  ON 27TH & 28TH OCTOBER, 2017"
42-B/2019-20/Pr.CCIT/Tech,Video Conference
42-B(1)/2019-20/Pr.CCIT/Tech,MOVEABLE ASSETS RELATED TO VIDEO CONFERENCE- CONFIDENTIAL 
42C/2019-20/Pr.CCIT/Tech,review meeting of DIT( R )
42D/2019-20/Pr.CCIT/Tech,PRESENTATION OF UNION BUDGET - 2017-18
43/2019-20/Pr.CCIT/Tech,Circulars & Instructions
43-A/2019-20/Pr.CCIT/Tech, BOARD'S Notifications
43-B/2019-20/Pr.CCIT/Tech,Instructions/Directions of board on judicial matters 
44/2019-20/Pr.CCIT/Tech,Study tour Programmes of Standing committee on Finance
45/2019-20/Pr.CCIT/Tech,119(2)(a)- Waiver of Interest
46/2019-20/Pr.CCIT/Tech,119(2)(b) - Condonation of Delay
47/2019-20/Pr.CCIT/Tech,Proposal for Write off of Arrears
48/2019-20/Pr.CCIT/Tech,Vision 2020/ASK
49/2019-20/Pr.CCIT/Tech,Direct Tax Law
50/2019-20/Pr.CCIT/Tech,Direct Tax Code
51/2019-20/Pr.CCIT/Tech,Reward Proposals
52/2019-20/Pr.CCIT/Tech,Annual returns of Political Parties
53/2019-20/Pr.CCIT/Tech,AIR Correspondence
54/2019-20/Pr.CCIT/Tech,Revised Monetary Limit
55/2019-20/Pr.CCIT/Tech,Review of Registers
56/2019-20/Pr.CCIT/Tech,APPROPRIATE AUTHORITY
57/2019-20/Pr.CCIT/Tech,LET US SHARE
57A/2019-20/Pr.CCIT/Tech, MATTER RELATING TO COOPERATIVE BANK ( LET US SHARE)
58/2019-20/Pr.CCIT/Tech,CORRESPONDENCE RELATED TO INTERNATIONAL TAXATION
59/2019-20/Pr.CCIT/Tech,
60/2019-20/Pr.CCIT/Tech,SAFEM (FOP)
61/2019-20/Pr.CCIT/Tech,JURISDICTION for new office creation
61-A/2019-20/Pr.CCIT/Tech,JURISDICTION Administration
61-B /2019-20/Pr.CCIT/Tech,JURISDICTION OF CIT(APPEALS)
61-B(1)/2019-20/Pr.CCIT/Tech,JURISDICTION OF CIT(APPEALS)Misc
61-C/2019-20/Pr.CCIT/Tech,JURISDICTION of CIT(TDS)
61-D/2019-20/Pr.CCIT/Tech,JURISDICTION of CIT(LTU)
61-D/2019-20/Pr.CCIT/Tech,Gazette Notification
61-E/2019-20/Pr.CCIT/Tech,Notification on urbanisation  Upgradation & Correspondence relating to Urbanisation
61-F/2019-20/Pr.CCIT/Tech,Order /Transfer of Appeals
61-G/2019-20/Pr.CCIT/Tech,JURISDICTION - TRANSFER PRICING
61-H/2019-20/Pr.CCIT/Tech,Appellate Orders
61-I/2019-20/Pr.CCIT/Tech,jurisdiction-international taxation
61-J/2019-20/Pr.CCIT/Tech,jurisdiction-other charges 
62(1)/2019-20/Pr.CCIT/Tech,appellate orders received from other charges
62/2019-20/Pr.CCIT/Tech,APPELLATE ORDERS CIT (A) -I
62-A/2019-20/Pr.CCIT/Tech,Appellate orders CIT (A)-II
62-B/2019-20/Pr.CCIT/Tech,APPELLATE ORDERS CIT(A) LTU
